id,database,title,authors,year,journal_type,journal,citations,url,pdf
63,Google Scholar,Measuring the quality of scientific references in Wikipedia: an analysis of more than 115M citations to over 800 000 scientific articles,"JM Nicholson, A Uppala, M Sieber, P Grabitz…",2021,unknown,"The FEBS …, 2021",16,https://febs.onlinelibrary.wiley.com/doi/abs/10.1111/febs.15608,N/A
64,Google Scholar,Classifying Wikipedia article quality with revision history networks,"N Raman, N Sauerberg, J Fisher…",2020,Conference,"Proceedings of the 16th …, 2020",8,https://dl.acm.org/doi/abs/10.1145/3412569.3412581,https://opensym.org/wp-content/uploads/2020/08/os20-paper-a5-raman.pdf
65,Google Scholar,Wikipediaviz: Conveying article quality for casual wikipedia readers,"F Chevalier, S Huot, JD Fekete",2010,unknown,"2010 IEEE Pacific …, 2010",45,https://ieeexplore.ieee.org/abstract/document/5429611/,https://hal.inria.fr/inria-00550698/file/WikipediaViz-PacificVis2010.pdf
66,Google Scholar,Multilingual ranking of Wikipedia articles with quality and popularity assessment in different topics,"W Lewoniewski, K Węcel, W Abramowicz",2019,unknown,"Computers, 2019",21,https://www.mdpi.com/515352,https://www.mdpi.com/2073-431X/8/3/60/pdf
67,Google Scholar,Automatically assessing the quality of Wikipedia contents,"E Bassani, M Viviani",2019,Conference,"Proceedings of the 34th ACM/SIGAPP Symposium …, 2019",10,https://dl.acm.org/doi/abs/10.1145/3297280.3297357,N/A
68,Google Scholar,Pharmacy students can improve access to quality medicines information by editing Wikipedia articles,"DE Apollonio, K Broyde, A Azzam, M De Guia…",2018,unknown,"BMC medical …, 2018",27,https://link.springer.com/article/10.1186/s12909-018-1375-z,N/A
69,Google Scholar,Wisdom of crowds: the effect of participant composition and contribution behavior on Wikipedia article quality,"Y Lin, C Wang",2020,Journal,"Journal of Knowledge Management, 2020",9,https://www.emerald.com/insight/content/doi/10.1108/JKM-08-2019-0416/full/html,N/A
70,Google Scholar,Quality evaluation of Wikipedia articles through edit history and editor groups,"S Wang, M Iwaihara",2011,Conference,"Asia-Pacific Web Conference, 2011",19,https://link.springer.com/chapter/10.1007/978-3-642-20291-9_20,N/A
71,Google Scholar,Application of SEO metrics to determine the quality of Wikipedia articles and their sources,"W Lewoniewski, RC Härting, K Węcel…",2018,unknown,"… on Information and …, 2018",12,https://link.springer.com/chapter/10.1007/978-3-319-99972-2_11,https://www.researchgate.net/profile/Wlodzimierz-Lewoniewski/publication/327265925_Application_of_SEO_Metrics_to_Determine_the_Quality_of_Wikipedia_Articles_and_Their_Sources/links/5bcb8b44a6fdcc03c798be98/Application-of-SEO-Metrics-to-Determine-the-Quality-of-Wikipedia-Articles-and-Their-Sources.pdf
72,Google Scholar,Diversity of editors and teams versus quality of cooperative work: experiments on Wikipedia,"M Sydow, K Baraniak, P Teisseyre",2017,Journal,"Journal of Intelligent Information …, 2017",16,https://link.springer.com/article/10.1007/s10844-016-0428-1,N/A
73,Google Scholar,Readability and quality of Wikipedia articles on pelvic floor disorders,"SJ Handler, SE Eckhardt, Y Takashima…",2021,unknown,"International …, 2021",10,https://link.springer.com/article/10.1007/s00192-021-04776-0,N/A
74,Google Scholar,A deep learning-based quality assessment model of collaboratively edited documents: A case study of Wikipedia,"P Wang, X Li, R Wu",2021,Journal,"Journal of information science, 2021",8,https://journals.sagepub.com/doi/abs/10.1177/0165551519877646,https://journals.sagepub.com/doi/pdf/10.1177/0165551519877646
75,Google Scholar,Overview of the 1th International Competition on Quality Flaw Prediction in Wikipedia.,"M Anderka, B Stein",2012,Conference,"CLEF (Online Working Notes/Labs/Workshop), 2012",21,http://ceur-ws.org/Vol-1178/CLEF2012wn-PAN-AnderkaEt2012.pdf,http://ceur-ws.org/Vol-1178/CLEF2012wn-PAN-AnderkaEt2012.pdf
76,Google Scholar,Automatically labeling low quality content on wikipedia by leveraging patterns in editing behaviors,"S Asthana, S Tobar Thommel, AL Halfaker…",2021,Conference,"Proceedings of the …, 2021",1,https://dl.acm.org/doi/abs/10.1145/3479503,https://arxiv.org/pdf/2108.02252
